開始日時：2018/05/08 00:03:48
棋戦：R対局(早指2)
手合割：平手
先手：mohikantarou(1770)
後手：Hefeweizen(2831)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:06/00:00:06)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:04/00:00:10)
4 ４二玉(51)   ( 0:03/00:00:24)
5 ２五歩(26)   ( 0:12/00:00:22)
6 ８四歩(83)   ( 0:02/00:00:26)
7 ７八金(69)   ( 0:15/00:00:37)
8 ３二金(41)   ( 0:03/00:00:29)
9 ２四歩(25)   ( 0:03/00:00:40)
10 ２四歩(23)   ( 0:03/00:00:32)
11 ２四飛(28)   ( 0:02/00:00:42)
12 ２三歩打     ( 0:02/00:00:34)
13 ２六飛(24)   ( 0:03/00:00:45)
14 ７二銀(71)   ( 0:22/00:00:56)
15 ７七桂(89)   ( 0:07/00:00:52)
16 ６四歩(63)   ( 0:22/00:01:18)
17 ７五歩(76)   ( 0:05/00:00:57)
18 ８三銀(72)   ( 0:02/00:01:20)
19 ３六飛(26)   ( 0:05/00:01:02)
20 ５二金(61)   ( 0:22/00:01:42)
21 ３四飛(36)   ( 0:07/00:01:09)
22 ６三金(52)   ( 0:03/00:01:45)
23 ３六飛(34)   ( 0:26/00:01:35)
24 ３三金(32)   ( 0:22/00:02:07)
25 ９六歩(97)   ( 0:13/00:01:48)
26 ７二飛(82)   ( 0:22/00:02:29)
27 ７六飛(36)   ( 0:27/00:02:15)
28 ７四歩(73)   ( 0:22/00:02:51)
29 ９七角(88)   ( 0:19/00:02:34)
30 ７五歩(74)   ( 0:02/00:02:53)
31 ７五角(97)   ( 0:16/00:02:50)
32 ８五歩(84)   ( 0:02/00:02:55)
33 ７三歩打     ( 0:20/00:03:10)
34 ７三飛(72)   ( 0:21/00:03:16)
35 ８五桂(77)   ( 0:16/00:03:26)
36 ７一飛(73)   ( 0:02/00:03:18)
37 ４八玉(59)   ( 0:30/00:03:56)
38 ８四歩打     ( 0:22/00:03:40)
39 ７二歩打     ( 0:29/00:04:25)
40 ７二飛(71)   ( 0:22/00:04:02)
41 ７三歩打     ( 0:06/00:04:31)
42 ５二飛(72)   ( 0:02/00:04:04)
43 ９三桂成(85)   ( 0:12/00:04:43)
44 ９三香(91)   ( 0:22/00:04:26)
45 ６六角(75)   ( 0:04/00:04:47)
46 ７四金(63)   ( 0:02/00:04:28)
47 ８八角(66)   ( 0:10/00:04:57)
48 ９二飛(52)   ( 0:03/00:04:31)
49 ３八銀(39)   ( 0:08/00:05:05)
50 ３二銀(31)   ( 0:22/00:04:53)
51 ９五歩(96)   ( 0:13/00:05:18)
52 ４四歩(43)   ( 0:22/00:05:15)
53 ７二歩成(73)   ( 0:17/00:05:35)
54 ７二飛(92)   ( 0:21/00:05:36)
55 ９四歩(95)   ( 0:20/00:05:55)
56 ９四香(93)   ( 0:22/00:05:58)
57 ９五歩打     ( 0:15/00:06:10)
58 ９五香(94)   ( 0:02/00:06:00)
59 ９六歩打     ( 0:09/00:06:19)
60 ９六香(95)   ( 0:02/00:06:02)
61 ９六飛(76)   ( 0:03/00:06:22)
62 ９四歩打     ( 0:03/00:06:05)
63 ３六飛(96)   ( 0:17/00:06:39)
64 ４三銀(32)   ( 0:22/00:06:27)
65 ３九玉(48)   ( 0:29/00:07:08)
66 ３二金(33)   ( 0:21/00:06:48)
67 ４六歩(47)   ( 0:08/00:07:16)
68 ３三桂(21)   ( 0:22/00:07:10)
69 ３五香打     ( 0:23/00:07:39)
70 ７三金(74)   ( 0:03/00:07:13)
71 ４五歩(46)   ( 0:08/00:07:47)
72 ４五歩(44)   ( 0:02/00:07:15)
73 ３三香成(35)   ( 0:08/00:07:55)
74 ３三金(32)   ( 0:22/00:07:37)
75 ３四桂打     ( 0:30/00:08:25)
76 ３四銀(43)   ( 0:22/00:07:59)
77 ３四飛(36)   ( 0:04/00:08:29)
78 ３二歩打     ( 0:02/00:08:01)
79 ３三飛成(34)   ( 0:43/00:09:12)
80 ３三歩(32)   ( 0:22/00:08:23)
81 ４四銀打     ( 0:15/00:09:27)
82 ４六桂打     ( 0:22/00:08:45)
83 ４三金打     ( 0:26/00:09:53)
84 ５一玉(42)   ( 0:22/00:09:07)
85 ５三銀成(44)   ( 0:06/00:09:59)
86 ６九飛打     ( 0:03/00:09:10)
87 ２八玉(39)   ( 0:38/00:10:37)
88 ２四香打     ( 0:22/00:09:32)
89 ２七歩打     ( 0:02/00:10:39)
90 ３八桂成(46)   ( 0:02/00:09:34)
91 ３八金(49)   ( 0:27/00:11:06)
92 ４六桂打     ( 0:02/00:09:36)
93 ４四角(88)   ( 0:57/00:12:03)
94 ３八桂成(46)   ( 0:02/00:09:38)
95 ３八玉(28)   ( 0:03/00:12:06)
96 ４七銀打     ( 0:01/00:09:39)
97 ４七玉(38)   ( 0:12/00:12:18)
98 ４九飛成(69)   ( 0:03/00:09:42)
99 投了
