開始日時：2018/05/08 08:21:38
棋戦：R対局(早指)
手合割：平手
先手：otosasi(1705)
後手：Hefeweizen(2851)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:05/00:00:05)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ２五歩(26)   ( 0:02/00:00:07)
4 ３三角(22)   ( 0:21/00:00:42)
5 ４八銀(39)   ( 0:03/00:00:10)
6 ３二銀(31)   ( 0:22/00:01:04)
7 ５六歩(57)   ( 0:03/00:00:13)
8 ８四歩(83)   ( 0:21/00:01:25)
9 ７八金(69)   ( 0:03/00:00:16)
10 ８五歩(84)   ( 0:22/00:01:47)
11 ５七銀(48)   ( 0:02/00:00:18)
12 ４四歩(43)   ( 0:02/00:01:49)
13 ３六歩(37)   ( 0:05/00:00:23)
14 ４三銀(32)   ( 0:22/00:02:11)
15 ６九玉(59)   ( 0:05/00:00:28)
16 ３二金(41)   ( 0:03/00:02:14)
17 １六歩(17)   ( 0:09/00:00:37)
18 ５二金(61)   ( 0:22/00:02:36)
19 ６八銀(79)   ( 0:03/00:00:40)
20 ６二銀(71)   ( 0:03/00:02:39)
21 ９六歩(97)   ( 0:03/00:00:43)
22 ５四歩(53)   ( 0:22/00:03:01)
23 ６六歩(67)   ( 0:02/00:00:45)
24 ７四歩(73)   ( 0:22/00:03:23)
25 ６七銀(68)   ( 0:03/00:00:48)
26 ７三桂(81)   ( 0:22/00:03:45)
27 ４六銀(57)   ( 0:08/00:00:56)
28 ４五歩(44)   ( 0:22/00:04:07)
29 ４五銀(46)   ( 0:07/00:01:03)
30 ４二角(33)   ( 0:21/00:04:28)
31 ７九角(88)   ( 0:19/00:01:22)
32 ８六歩(85)   ( 0:02/00:04:30)
33 ８六歩(87)   ( 0:07/00:01:29)
34 ３三桂(21)   ( 0:22/00:04:52)
35 ３七桂(29)   ( 0:11/00:01:40)
36 ８六角(42)   ( 0:21/00:05:13)
37 ８七歩打     ( 0:10/00:01:50)
38 ６四角(86)   ( 0:02/00:05:15)
39 ５五歩(56)   ( 0:08/00:01:58)
40 ４五桂(33)   ( 0:22/00:05:37)
41 ４五桂(37)   ( 0:11/00:02:09)
42 ５五角(64)   ( 0:02/00:05:39)
43 ４六歩(47)   ( 0:10/00:02:19)
44 ４四歩打     ( 0:02/00:05:41)
45 ５三歩打     ( 0:15/00:02:34)
46 ４二金(52)   ( 0:22/00:06:03)
47 ４七桂打     ( 0:05/00:02:39)
48 ６四角(55)   ( 0:22/00:06:25)
49 ６五歩(66)   ( 0:03/00:02:42)
50 ６五桂(73)   ( 0:22/00:06:47)
51 ６六銀(67)   ( 0:07/00:02:49)
52 ５六銀打     ( 0:21/00:07:08)
53 ２四歩(25)   ( 0:25/00:03:14)
54 ２四歩(23)   ( 0:02/00:07:10)
55 ２四飛(28)   ( 0:06/00:03:20)
56 ２三歩打     ( 0:22/00:07:32)
57 ２五飛(24)   ( 0:07/00:03:27)
58 ４五歩(44)   ( 0:21/00:07:53)
59 ５八金(49)   ( 0:25/00:03:52)
60 ４六歩(45)   ( 0:22/00:08:15)
61 ６五銀(66)   ( 0:02/00:03:54)
62 ４七歩成(46)   ( 0:23/00:08:38)
63 ５六銀(65)   ( 0:11/00:04:05)
64 ５八と(47)   ( 0:03/00:08:41)
65 ５八玉(69)   ( 0:02/00:04:07)
66 ６六桂打     ( 0:03/00:08:44)
67 ６七玉(58)   ( 0:11/00:04:18)
68 ７八桂成(66)   ( 0:03/00:08:47)
69 ７八玉(67)   ( 0:03/00:04:21)
70 ６六桂打     ( 0:22/00:09:09)
71 ６七玉(78)   ( 0:08/00:04:29)
72 ８七飛成(82)   ( 0:04/00:09:13)
73 ６六玉(67)   ( 0:30/00:04:59)
74 ７五金打     ( 0:23/00:09:36)
75 ７五飛(25)   ( 0:26/00:05:25)
76 ７五角(64)   ( 0:01/00:09:37)
77 投了
