開始日時：2018/05/08 13:10:51
棋戦：R対局(15分)
手合割：平手
先手：pippitarou(1164)
後手：Hefeweizen(2855)
手数----指手---------消費時間--
1 ９六歩(97)   ( 0:05/00:00:05)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ７六歩(77)   ( 0:07/00:00:12)
4 ８四歩(83)   ( 0:23/00:00:44)
5 ２六歩(27)   ( 0:03/00:00:15)
6 ８五歩(84)   ( 0:03/00:00:47)
7 ２五歩(26)   ( 0:01/00:00:16)
8 ３二金(41)   ( 0:02/00:00:49)
9 ７八金(69)   ( 0:01/00:00:17)
10 ７二銀(71)   ( 0:03/00:00:52)
11 ２四歩(25)   ( 0:02/00:00:19)
12 ２四歩(23)   ( 0:03/00:00:55)
13 ２四飛(28)   ( 0:02/00:00:21)
14 ８六歩(85)   ( 0:03/00:00:58)
15 ８六歩(87)   ( 0:01/00:00:22)
16 ８六飛(82)   ( 0:02/00:01:00)
17 ２二角成(88)   ( 0:02/00:00:24)
18 ２二銀(31)   ( 0:23/00:01:23)
19 ７七角打     ( 0:03/00:00:27)
20 ８九飛成(86)   ( 0:23/00:01:46)
21 ２二飛成(24)   ( 0:06/00:00:33)
22 ２二金(32)   ( 0:22/00:02:08)
23 ２二角成(77)   ( 0:02/00:00:35)
24 ８六桂打     ( 0:03/00:02:11)
25 ８八馬(22)   ( 0:06/00:00:41)
26 ７八桂成(86)   ( 0:02/00:02:13)
27 ８九馬(88)   ( 0:02/00:00:43)
28 ７七角打     ( 0:22/00:02:35)
29 ４八玉(59)   ( 0:47/00:01:30)
30 ８九成桂(78)   ( 0:03/00:02:38)
31 ３一飛打     ( 0:18/00:01:48)
32 ６二玉(51)   ( 0:22/00:03:00)
33 ８二歩打     ( 0:01/00:01:49)
34 ２二角成(77)   ( 0:23/00:03:23)
35 ４一飛成(31)   ( 0:31/00:02:20)
36 ５一金打     ( 0:02/00:03:25)
37 ４三龍(41)   ( 0:01/00:02:21)
38 ７九成桂(89)   ( 0:04/00:03:29)
39 ８一歩成(82)   ( 0:12/00:02:33)
40 ８八飛打     ( 0:03/00:03:32)
41 ５八銀打     ( 0:11/00:02:44)
42 ８一銀(72)   ( 0:22/00:03:54)
43 ８三歩打     ( 2:32/00:05:16)
44 ６九成桂(79)   ( 0:22/00:04:16)
45 ５四桂打     ( 0:24/00:05:40)
46 ５四歩(53)   ( 0:22/00:04:38)
47 ５三金打     ( 0:11/00:05:51)
48 ７一玉(62)   ( 0:03/00:04:41)
49 ６三金(53)   ( 0:21/00:06:12)
50 ５二銀打     ( 0:02/00:04:43)
51 ５二金(63)   ( 0:07/00:06:19)
52 ５二金(61)   ( 0:03/00:04:46)
53 ７三龍(43)   ( 0:04/00:06:23)
54 ７二歩打     ( 0:03/00:04:49)
55 ８二銀打     ( 0:11/00:06:34)
56 ６一玉(71)   ( 0:23/00:05:12)
57 ６四龍(73)   ( 0:11/00:06:45)
58 ６三歩打     ( 0:22/00:05:34)
59 ７五龍(64)   ( 0:16/00:07:01)
60 ５九金打     ( 0:22/00:05:56)
61 ８一銀(82)   ( 0:27/00:07:28)
62 ４九金(59)   ( 0:22/00:06:18)
63 ４九玉(48)   ( 0:02/00:07:30)
64 ５九金打     ( 0:02/00:06:20)
65 ３八玉(49)   ( 0:03/00:07:33)
66 ４九角打     ( 0:02/00:06:22)
67 ２八玉(38)   ( 0:04/00:07:37)
68 ２七歩打     ( 0:01/00:06:23)
69 １八玉(28)   ( 0:03/00:07:40)
70 ２六桂打     ( 0:01/00:06:24)
71 投了
