開始日時：2018/05/08 00:56:31
棋戦：R対局(早指2)
手合割：平手
先手：yuitsu(255)
後手：Hefeweizen(2831)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:03/00:00:03)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ７六歩(77)   ( 0:01/00:00:04)
4 ３二金(41)   ( 0:02/00:00:23)
5 ２五歩(26)   ( 0:02/00:00:06)
6 ３四歩(33)   ( 0:22/00:00:45)
7 ６六歩(67)   ( 0:04/00:00:10)
8 ３三角(22)   ( 0:21/00:01:06)
9 ６八銀(79)   ( 0:03/00:00:13)
10 ４二銀(31)   ( 0:22/00:01:28)
11 ７八金(69)   ( 0:03/00:00:16)
12 ７二銀(71)   ( 0:22/00:01:50)
13 ９六歩(97)   ( 0:03/00:00:19)
14 ６四歩(63)   ( 0:22/00:02:12)
15 ５八金(49)   ( 0:03/00:00:22)
16 ６三銀(72)   ( 0:22/00:02:34)
17 ７七銀(68)   ( 0:03/00:00:25)
18 ７四歩(73)   ( 0:22/00:02:56)
19 ４八銀(39)   ( 0:08/00:00:33)
20 ４一玉(51)   ( 0:03/00:02:59)
21 ４六歩(47)   ( 0:02/00:00:35)
22 ７三桂(81)   ( 0:21/00:03:20)
23 ４七銀(48)   ( 0:14/00:00:49)
24 ５四銀(63)   ( 0:02/00:03:22)
25 ６七金(78)   ( 0:04/00:00:53)
26 ６五歩(64)   ( 0:21/00:03:43)
27 ５六銀(47)   ( 0:10/00:01:03)
28 ８五歩(84)   ( 0:03/00:03:46)
29 ９七角(88)   ( 0:06/00:01:09)
30 ８六歩(85)   ( 0:03/00:03:49)
31 ８六角(97)   ( 0:03/00:01:12)
32 ６六歩(65)   ( 0:03/00:03:52)
33 ６六銀(77)   ( 0:21/00:01:33)
34 ６五歩打     ( 0:03/00:03:55)
35 ７七銀(66)   ( 0:10/00:01:43)
36 ８五桂(73)   ( 0:03/00:03:58)
37 ６四角(86)   ( 0:03/00:01:46)
38 ８一飛(82)   ( 0:22/00:04:20)
39 ７三角成(64)   ( 0:19/00:02:05)
40 ７七桂(85)   ( 0:22/00:04:42)
41 ７七金(67)   ( 0:02/00:02:07)
42 ７七角成(33)   ( 0:03/00:04:45)
43 ７七桂(89)   ( 0:02/00:02:09)
44 ８七飛成(81)   ( 0:03/00:04:48)
45 ６九桂打     ( 0:10/00:02:19)
46 ３九銀打     ( 0:22/00:05:10)
47 ２六飛(28)   ( 0:56/00:03:15)
48 ８八龍(87)   ( 0:22/00:05:32)
49 ６八歩打     ( 0:02/00:03:17)
50 ９九龍(88)   ( 0:03/00:05:35)
51 ４八金(58)   ( 0:13/00:03:30)
52 ４八銀(39)   ( 0:23/00:05:58)
53 ４八玉(59)   ( 0:03/00:03:33)
54 ６九龍(99)   ( 0:03/00:06:01)
55 ７四馬(73)   ( 0:11/00:03:44)
56 ６三金打     ( 0:22/00:06:23)
57 ６三馬(74)   ( 0:31/00:04:15)
58 ６三銀(54)   ( 0:22/00:06:45)
59 ５九金打     ( 0:02/00:04:17)
60 ５八金打     ( 0:22/00:07:07)
61 ５八金(59)   ( 0:07/00:04:24)
62 ３九角打     ( 0:03/00:07:10)
63 ４七玉(48)   ( 0:05/00:04:29)
64 ３五桂打     ( 0:03/00:07:13)
65 ３六玉(47)   ( 0:05/00:04:34)
66 ５八龍(69)   ( 0:03/00:07:16)
67 ６七金打     ( 0:58/00:05:32)
68 ４八角成(39)   ( 0:06/00:07:22)
69 ２四歩(25)   ( 0:25/00:05:57)
70 ４七龍(58)   ( 0:03/00:07:25)
71 ２五玉(36)   ( 0:12/00:06:09)
72 １四金打     ( 0:02/00:07:27)
73 ３四玉(25)   ( 0:05/00:06:14)
74 ３三金(32)   ( 0:02/00:07:29)
75 ３五玉(34)   ( 0:12/00:06:26)
76 ４四金(33)   ( 0:02/00:07:31)
77 投了
