開始日時：2018/05/07 13:48:36
棋戦：R対局(早指2)
手合割：平手
先手：yuitsu(276)
後手：Hefeweizen(2806)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:01/00:00:01)
2 ３四歩(33)   ( 0:21/00:00:21)
3 ６六歩(67)   ( 0:01/00:00:02)
4 ４二玉(51)   ( 0:22/00:00:43)
5 ４六歩(47)   ( 0:03/00:00:05)
6 ６二銀(71)   ( 0:21/00:01:04)
7 ４八飛(28)   ( 0:01/00:00:06)
8 １四歩(13)   ( 0:22/00:01:26)
9 １六歩(17)   ( 0:01/00:00:07)
10 ７四歩(73)   ( 0:21/00:01:47)
11 ６八銀(79)   ( 0:07/00:00:14)
12 ８四歩(83)   ( 0:22/00:02:09)
13 ７八金(69)   ( 0:02/00:00:16)
14 ８五歩(84)   ( 0:22/00:02:31)
15 ７七銀(68)   ( 0:03/00:00:19)
16 ５二金(61)   ( 0:21/00:02:52)
17 ９六歩(97)   ( 0:02/00:00:21)
18 ７三銀(62)   ( 0:22/00:03:14)
19 ７九角(88)   ( 0:02/00:00:23)
20 ７五歩(74)   ( 0:22/00:03:36)
21 ７五歩(76)   ( 0:04/00:00:27)
22 ８四銀(73)   ( 0:22/00:03:58)
23 ４五歩(46)   ( 0:10/00:00:37)
24 ７五銀(84)   ( 0:21/00:04:19)
25 ４四歩(45)   ( 0:02/00:00:39)
26 ７六歩打     ( 0:22/00:04:41)
27 ８八銀(77)   ( 0:04/00:00:43)
28 ４四角(22)   ( 0:22/00:05:03)
29 ４四飛(48)   ( 0:13/00:00:56)
30 ４四歩(43)   ( 0:22/00:05:25)
31 ５五角打     ( 0:02/00:00:58)
32 ６四歩(63)   ( 0:22/00:05:47)
33 ６五歩(66)   ( 0:33/00:01:31)
34 ５四飛打     ( 0:23/00:06:10)
35 ５六歩(57)   ( 0:08/00:01:39)
36 ５五飛(54)   ( 0:21/00:06:31)
37 ５五歩(56)   ( 0:04/00:01:43)
38 ５六角打     ( 0:03/00:06:34)
39 ２六飛打     ( 0:43/00:02:26)
40 ７八角成(56)   ( 0:23/00:06:57)
41 ２三飛成(26)   ( 0:04/00:02:30)
42 ２二歩打     ( 0:22/00:07:19)
43 ２六龍(23)   ( 0:40/00:03:10)
44 ６九金打     ( 0:03/00:07:22)
45 ４八玉(59)   ( 0:04/00:03:14)
46 ７九金(69)   ( 0:03/00:07:25)
47 ７九銀(88)   ( 0:02/00:03:16)
48 ７九馬(78)   ( 0:03/00:07:28)
49 ４五歩打     ( 0:22/00:03:38)
50 ８九馬(79)   ( 0:22/00:07:50)
51 ４四歩(45)   ( 0:02/00:03:40)
52 ３五銀打     ( 0:22/00:08:12)
53 ４三金打     ( 0:04/00:03:44)
54 ４三金(52)   ( 0:22/00:08:34)
55 ４三歩成(44)   ( 0:03/00:03:47)
56 ４三玉(42)   ( 0:03/00:08:37)
57 ４四歩打     ( 0:10/00:03:57)
58 ４四玉(43)   ( 0:22/00:08:59)
59 １七龍(26)   ( 0:33/00:04:30)
60 ５六馬(89)   ( 0:22/00:09:21)
61 ４七歩打     ( 0:03/00:04:33)
62 ４六桂打     ( 0:22/00:09:43)
63 ５七金打     ( 0:09/00:04:42)
64 ５七馬(56)   ( 0:02/00:09:45)
65 ５七玉(48)   ( 0:01/00:04:43)
66 ６六角打     ( 0:02/00:09:47)
67 ５六玉(57)   ( 0:07/00:04:50)
68 ５七金打     ( 0:03/00:09:50)
69 投了
