開始日時：2018/05/08 09:50:09
棋戦：R対局(早指)
手合割：平手
先手：ryouko makoto(615)
後手：Hefeweizen(2854)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:01/00:00:01)
2 ４二玉(51)   ( 0:21/00:00:21)
3 ２六歩(27)   ( 0:01/00:00:02)
4 ８四歩(83)   ( 0:22/00:00:43)
5 ２五歩(26)   ( 0:01/00:00:03)
6 ３四歩(33)   ( 0:22/00:01:05)
7 ７八金(69)   ( 0:01/00:00:04)
8 ８五歩(84)   ( 0:03/00:01:08)
9 ２四歩(25)   ( 0:01/00:00:05)
10 ２四歩(23)   ( 0:02/00:01:10)
11 ２四飛(28)   ( 0:02/00:00:07)
12 ３二金(41)   ( 0:22/00:01:32)
13 ２八飛(24)   ( 0:04/00:00:11)
14 ２三歩打     ( 0:22/00:01:54)
15 ２二角成(88)   ( 0:03/00:00:14)
16 ２二銀(31)   ( 0:22/00:02:16)
17 ８八銀(79)   ( 0:01/00:00:15)
18 ８六歩(85)   ( 0:03/00:02:19)
19 ８六歩(87)   ( 0:02/00:00:17)
20 ８六飛(82)   ( 0:02/00:02:21)
21 ６九玉(59)   ( 0:02/00:00:19)
22 ７四歩(73)   ( 0:21/00:02:42)
23 ８七歩打     ( 0:04/00:00:23)
24 ８四飛(86)   ( 0:03/00:02:45)
25 ３八銀(39)   ( 0:02/00:00:25)
26 ７二銀(71)   ( 0:03/00:02:48)
27 ７七銀(88)   ( 0:01/00:00:26)
28 ７三桂(81)   ( 0:22/00:03:10)
29 １六歩(17)   ( 0:01/00:00:27)
30 ６四歩(63)   ( 0:22/00:03:32)
31 ４六歩(47)   ( 0:01/00:00:28)
32 ３三角打     ( 0:22/00:03:54)
33 ４七銀(38)   ( 0:01/00:00:29)
34 ６五桂(73)   ( 0:22/00:04:16)
35 ６六銀(77)   ( 0:02/00:00:31)
36 ５七桂(65)   ( 0:03/00:04:19)
37 ５七銀(66)   ( 0:03/00:00:34)
38 ９九角成(33)   ( 0:03/00:04:22)
39 ７七桂(89)   ( 0:01/00:00:35)
40 ９四飛(84)   ( 0:22/00:04:44)
41 ５八金(49)   ( 0:09/00:00:44)
42 ７五歩(74)   ( 0:22/00:05:06)
43 ５九玉(69)   ( 0:06/00:00:50)
44 ７六歩(75)   ( 0:22/00:05:28)
45 ８五桂(77)   ( 0:03/00:00:53)
46 ７七歩成(76)   ( 0:23/00:05:51)
47 ７七金(78)   ( 0:02/00:00:55)
48 ７七馬(99)   ( 0:22/00:06:13)
49 ４八玉(59)   ( 0:01/00:00:56)
50 ７六馬(77)   ( 0:02/00:06:15)
51 投了
