開始日時：2018/05/07 17:07:13
棋戦：R対局(15分)
手合割：平手
先手：rasukarusuzuka(2213)
後手：Hefeweizen(2811)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:02/00:00:02)
2 ８四歩(83)   ( 0:21/00:00:21)
3 ５六歩(57)   ( 0:12/00:00:14)
4 ３四歩(33)   ( 0:22/00:00:43)
5 ６六歩(67)   ( 0:02/00:00:16)
6 ４二玉(51)   ( 0:03/00:00:46)
7 ５八金(49)   ( 0:01/00:00:17)
8 ６二銀(71)   ( 0:22/00:01:08)
9 ６七金(58)   ( 0:01/00:00:18)
10 ６四歩(63)   ( 0:22/00:01:30)
11 ７八金(69)   ( 0:06/00:00:24)
12 ３二銀(31)   ( 0:22/00:01:52)
13 ４八銀(39)   ( 0:03/00:00:27)
14 ８五歩(84)   ( 0:24/00:02:16)
15 ７七角(88)   ( 0:02/00:00:29)
16 ３一玉(42)   ( 0:22/00:02:38)
17 ８八銀(79)   ( 0:03/00:00:32)
18 ６三銀(62)   ( 0:21/00:02:59)
19 ６九玉(59)   ( 0:04/00:00:36)
20 ５四銀(63)   ( 0:22/00:03:21)
21 ７九玉(69)   ( 0:07/00:00:43)
22 ６二飛(82)   ( 0:22/00:03:43)
23 ５七銀(48)   ( 0:03/00:00:46)
24 ７四歩(73)   ( 0:03/00:03:46)
25 ３六歩(37)   ( 3:38/00:04:24)
26 ７三桂(81)   ( 0:22/00:04:08)
27 ３五歩(36)   ( 0:11/00:04:35)
28 ３五歩(34)   ( 0:22/00:04:30)
29 ３八飛(28)   ( 0:02/00:04:37)
30 ４四角(22)   ( 0:03/00:04:33)
31 ５九角(77)   ( 0:09/00:04:46)
32 ６五歩(64)   ( 0:22/00:04:55)
33 ７七銀(88)   ( 0:02/00:04:48)
34 ７二金(61)   ( 0:03/00:04:58)
35 ３七角(59)   ( 0:05/00:04:53)
36 ４五銀(54)   ( 0:03/00:05:01)
37 ５五角(37)   ( 0:11/00:05:04)
38 ３六銀(45)   ( 0:21/00:05:22)
39 ４八飛(38)   ( 0:26/00:05:30)
40 ５五角(44)   ( 0:22/00:05:44)
41 ５五歩(56)   ( 0:02/00:05:32)
42 ６四飛(62)   ( 0:03/00:05:47)
43 ５四歩(55)   ( 0:38/00:06:10)
44 ５四飛(64)   ( 0:22/00:06:09)
45 ８一角打     ( 0:03/00:06:13)
46 ８三角打     ( 0:03/00:06:12)
47 投了
